Time (ns),Atom id,Diffusion Coefficient (cm²/s)
790.0,216,4.03926e-05
790.0,224,0.212811
800.0,11,0.274689
800.0,50,0.142955
800.0,157,0.00312255
800.0,179,0.248392
800.0,187,0.00113246
800.0,191,0.146097
800.0,192,0.10609
800.0,216,0.00693445
800.0,222,0.308318
810.0,52,0.154053
810.0,56,0.300186
810.0,63,0.000579931
810.0,77,0.291028
810.0,94,0.301129
810.0,114,0.261103
810.0,118,0.258065
810.0,125,0.000285546
810.0,172,0.283914
810.0,275,0.119993
820.0,18,0.149753
820.0,21,0.232538
820.0,49,0.121946
820.0,63,0.00759332
820.0,86,0.223919
820.0,214,0.325599
820.0,216,1.7613e-05
820.0,233,0.229843
820.0,239,0.286711
820.0,255,0.00115129
830.0,63,0.000177338
830.0,83,0.314477
830.0,100,0.066854
830.0,112,0.137111
830.0,125,2.72357e-05
830.0,126,0.156313
830.0,203,0.0469956
830.0,228,0.120794
830.0,252,0.244516
840.0,3,0.150624
840.0,6,0.148069
840.0,31,0.226877
840.0,68,0.288278
840.0,83,0.16058
840.0,88,0.0747689
840.0,142,0.000310464
840.0,149,0.248069
840.0,158,0.286958
840.0,199,0.334765
840.0,216,1.34784e-05
840.0,219,0.100192
840.0,255,0.206417
840.0,268,0.222035
840.0,272,0.275839
840.0,282,0.159861
850.0,60,0.186415
850.0,63,0.000628655
850.0,66,0.153353
850.0,70,0.0
850.0,75,0.295298
850.0,125,2.95751e-05
850.0,172,0.326362
850.0,181,0.172845
850.0,191,0.0963073
850.0,192,0.0794845
860.0,38,0.0579456
860.0,66,0.210663
860.0,73,0.00286897
860.0,93,0.251332
860.0,123,0.303542
860.0,158,0.00078979
860.0,161,0.155294
860.0,163,0.126622
860.0,200,0.0455851
860.0,215,0.173159
860.0,216,1.02534e-05
860.0,223,0.0915723
860.0,264,0.0918571
860.0,280,0.115752
870.0,8,0.169602
870.0,14,0.194068
870.0,42,0.237186
870.0,61,0.198558
870.0,68,0.247754
870.0,73,0.0033142
870.0,85,0.0083461
870.0,175,0.0820582
870.0,188,0.311011
870.0,191,0.265462
870.0,216,0.00727177
870.0,230,0.157326
870.0,239,0.277016
870.0,240,0.194343
870.0,242,0.00490486
870.0,265,0.0716102
870.0,289,0.28976
880.0,29,0.00527497
880.0,33,0.102668
880.0,63,0.000652903
880.0,65,0.22717
880.0,80,0.255356
880.0,107,0.149653
880.0,118,0.202275
880.0,179,0.10232
880.0,191,0.244765
880.0,193,0.10415
880.0,208,0.241169
880.0,215,0.289884
880.0,216,0.0
890.0,6,0.329952
890.0,32,0.244587
890.0,42,0.00886048
890.0,43,0.10616
890.0,73,0.00406969
890.0,75,0.265693
890.0,178,0.146915
890.0,216,4.6964e-05
890.0,217,0.199561
890.0,235,0.229265
890.0,251,0.115868
890.0,269,0.0953471
890.0,288,0.194269
900.0,1,0.199423
900.0,24,0.00118305
900.0,35,0.214679
900.0,36,0.278269
900.0,37,0.254216
900.0,57,0.154895
900.0,123,0.0
900.0,138,0.330041
900.0,144,0.316215
900.0,161,0.0580926
900.0,187,0.00110775
900.0,196,0.120752
900.0,216,3.91253e-05
900.0,228,0.215212
910.0,16,0.234265
