Time (ns),id,Diffusion Coefficient (cm²/s),Atom id
330.0,,0.000166822,63.0
330.0,,0.314697,67.0
330.0,,0.317557,76.0
330.0,,0.151186,133.0
330.0,,0.313786,136.0
330.0,,0.262331,144.0
330.0,,0.125932,149.0
330.0,,0.0916252,163.0
330.0,,0.224325,178.0
330.0,,0.111754,189.0
330.0,,2.39819e-05,216.0
330.0,,0.123993,242.0
330.0,,0.286803,258.0
330.0,,0.275637,274.0
330.0,,0.305891,285.0
330.0,,0.306445,287.0
340.0,,0.142841,10.0
340.0,,0.318716,30.0
340.0,,0.24054,51.0
340.0,,0.173168,58.0
340.0,,0.000519363,63.0
340.0,,0.293363,92.0
340.0,,0.283395,108.0
340.0,,0.113344,114.0
340.0,,0.319303,132.0
340.0,,0.118902,202.0
340.0,,1.99281e-05,216.0
350.0,,0.0673548,21.0
350.0,,0.0328741,22.0
350.0,,0.292977,33.0
350.0,,0.170356,49.0
350.0,,0.204819,62.0
350.0,,0.0,63.0
350.0,,0.114315,71.0
350.0,,0.266503,77.0
350.0,,0.0345267,87.0
350.0,,0.250587,107.0
350.0,,0.00401803,142.0
350.0,,1.61545e-05,216.0
350.0,,0.298509,234.0
350.0,,0.0260732,256.0
350.0,,0.232458,290.0
350.0,,0.220455,291.0
360.0,,0.238883,72.0
360.0,,0.290233,89.0
360.0,,0.256938,161.0
360.0,,0.0504615,192.0
360.0,,8.58554e-05,216.0
360.0,,0.276331,217.0
360.0,,0.193662,280.0
370.0,,0.00274642,63.0
370.0,,0.304795,66.0
370.0,,0.329671,114.0
370.0,,0.28062,120.0
370.0,,0.300037,135.0
370.0,,0.00742589,142.0
370.0,,0.184097,223.0
370.0,,0.0237986,239.0
370.0,,0.294179,244.0
370.0,,0.0770613,257.0
370.0,,0.249123,274.0
380.0,,0.319865,3.0
380.0,,0.16837,53.0
380.0,,0.0,63.0
380.0,,0.269714,83.0
380.0,,0.17944,143.0
380.0,,0.305072,146.0
380.0,,0.188246,153.0
380.0,,3.73912e-05,216.0
380.0,,0.236043,239.0
380.0,,0.227709,248.0
390.0,,0.242123,38.0
390.0,,0.0426189,47.0
390.0,,0.000705296,63.0
390.0,,0.0457175,119.0
390.0,,5.82246e-06,125.0
390.0,,0.231537,132.0
390.0,,0.0989258,151.0
390.0,,0.082454,259.0
400.0,,0.243701,5.0
400.0,,0.30636,19.0
400.0,,0.276683,25.0
400.0,,0.315155,53.0
400.0,,0.000689548,63.0
400.0,,0.226555,65.0
400.0,,0.284506,76.0
400.0,,0.269112,79.0
400.0,,0.311412,83.0
400.0,,0.241172,107.0
400.0,,0.000495101,125.0
400.0,,0.299116,194.0
400.0,,0.133283,240.0
400.0,,0.309043,264.0
400.0,,0.311296,267.0
410.0,,0.000166583,24.0
410.0,,0.303569,25.0
410.0,,0.0,26.0
410.0,,0.326532,64.0
410.0,,0.227602,112.0
410.0,,0.272551,163.0
410.0,,0.308397,174.0
410.0,,0.0,187.0
410.0,,0.292086,197.0
410.0,,2.85903e-06,216.0
410.0,,0.0,221.0
410.0,,0.182839,233.0
420.0,,0.0508745,29.0
420.0,,0.0,63.0
420.0,,0.182821,65.0
420.0,,0.262417,97.0
420.0,,0.241253,99.0
420.0,,0.307091,147.0
420.0,,0.170388,152.0
420.0,,0.213828,186.0
420.0,,4.24404e-06,216.0
420.0,,0.18821,229.0
420.0,,0.269787,233.0
420.0,,0.238259,237.0
420.0,,0.302548,249.0
420.0,,0.0990593,284.0
430.0,,0.215982,41.0
430.0,,0.0294831,51.0
430.0,,0.315037,118.0
430.0,,1.69455e-06,216.0
430.0,,0.302549,244.0
430.0,,0.306598,287.0
430.0,,0.132407,289.0
440.0,,0.130957,78.0
440.0,,0.101453,105.0
440.0,,0.224133,138.0
440.0,,0.239115,196.0
440.0,,4.61568e-05,216.0
440.0,,0.00131442,255.0
440.0,,0.297155,275.0
440.0,,0.152206,288.0
450.0,,0.290063,8.0
450.0,,0.275451,9.0
450.0,,0.123887,22.0
450.0,,0.00355992,63.0
450.0,,0.221112,142.0
450.0,,0.000161024,216.0
460.0,,0.00601998,42.0
460.0,,0.315278,47.0
460.0,,0.00064187,73.0
460.0,,0.245669,80.0
460.0,,0.0748247,108.0
460.0,,0.1784,154.0
460.0,,0.212731,197.0
460.0,,0.000115471,216.0
460.0,,0.222648,225.0
460.0,,0.255436,237.0
460.0,,0.260706,245.0
460.0,,0.10663,282.0
460.0,,0.195528,283.0
470.0,,0.0,1.0
470.0,,0.189759,15.0
470.0,,0.000225333,24.0
470.0,,0.180806,32.0
470.0,,0.26214,54.0
470.0,,0.168277,118.0
470.0,,0.284981,122.0
470.0,,0.106618,148.0
470.0,,0.221323,162.0
470.0,,0.246965,163.0
470.0,,0.249631,175.0
470.0,,0.00280484,187.0
470.0,,0.0827563,209.0
470.0,,0.319241,210.0
470.0,,8.19961e-06,216.0
470.0,,0.243024,252.0
470.0,,0.185164,261.0
470.0,,0.241044,270.0
470.0,,0.0519991,274.0
470.0,,0.322254,292.0
470.0,,0.244955,293.0
480.0,,0.307158,26.0
480.0,,0.252118,36.0
480.0,,0.209055,44.0
480.0,,0.072015,105.0
480.0,,0.0899423,163.0
480.0,,0.0,192.0
480.0,,0.0,216.0
480.0,,0.26906,222.0
480.0,,0.30258,229.0
480.0,,0.104253,290.0
490.0,,0.224735,25.0
490.0,,0.000936107,63.0
490.0,,0.324907,71.0
490.0,,0.214904,86.0
490.0,,0.252921,100.0
490.0,,0.239387,141.0
490.0,,0.0679132,149.0
490.0,,0.242687,184.0
490.0,,0.172204,284.0
490.0,,0.240904,288.0
500.0,,0.314773,60.0
500.0,,0.208517,66.0
500.0,,0.295205,126.0
500.0,,0.251125,150.0
500.0,,0.28587,180.0
500.0,,0.149908,181.0
500.0,,2.59827e-05,216.0
500.0,,0.280375,219.0
500.0,,0.31893,264.0
510.0,,0.147445,27.0
510.0,,0.00347047,63.0
510.0,,0.261189,91.0
510.0,,0.260496,192.0
510.0,,0.215261,212.0
510.0,,2.42332e-05,216.0
510.0,,0.245132,221.0
510.0,,0.278178,240.0
510.0,,0.166402,254.0
510.0,,0.321614,280.0
520.0,,0.22401,34.0
520.0,,0.130697,37.0
520.0,,0.301991,64.0
520.0,,0.304181,125.0
520.0,,0.00436635,157.0
520.0,,0.125501,159.0
520.0,,0.113614,165.0
520.0,,0.306333,174.0
520.0,,9.21342e-05,187.0
520.0,,0.0397701,191.0
520.0,,0.134708,201.0
520.0,,0.0,216.0
520.0,,0.119027,255.0
520.0,,0.0422933,258.0
530.0,,0.235025,15.0
530.0,,0.207446,61.0
530.0,,0.00145289,63.0
530.0,,0.298362,67.0
530.0,,0.305361,104.0
530.0,,0.155505,118.0
530.0,,2.42069e-05,125.0
530.0,,0.297189,199.0
530.0,,0.008165,203.0
530.0,,0.233665,205.0
530.0,,0.163867,226.0
530.0,,0.296075,279.0
540.0,,0.28891,4.0
540.0,,0.333359,17.0
540.0,,0.295289,25.0
540.0,,0.000684424,63.0
540.0,,0.276994,98.0
540.0,,0.0,125.0
540.0,,0.295152,131.0
540.0,,0.284778,134.0
540.0,,0.320381,141.0
540.0,,0.292359,146.0
540.0,,0.198984,163.0
540.0,,0.117898,165.0
540.0,,0.180742,167.0
540.0,,0.257176,198.0
540.0,,0.305521,221.0
540.0,,0.329829,227.0
540.0,,0.268724,248.0
540.0,,0.210297,249.0
540.0,,0.326879,290.0
540.0,,0.252942,293.0
550.0,,0.324331,55.0
550.0,,0.201644,76.0
550.0,,0.238866,102.0
550.0,,0.2075,135.0
550.0,,0.238479,180.0
550.0,,0.32111,182.0
550.0,,0.225164,184.0
550.0,,0.0,216.0
550.0,,0.31371,224.0
550.0,,0.263856,232.0
550.0,,0.173249,261.0
560.0,,0.18272,7.0
560.0,,0.0892146,9.0
560.0,,0.321432,16.0
560.0,,0.135184,24.0
560.0,,0.0,29.0
560.0,,0.259943,34.0
560.0,,0.26406,42.0
560.0,,0.276133,45.0
560.0,,0.000713984,63.0
560.0,,0.293345,67.0
560.0,,0.0162849,120.0
560.0,,1.00767e-05,125.0
560.0,,0.207318,138.0
560.0,,0.243477,205.0
560.0,,0.141988,210.0
560.0,,0.208359,211.0
560.0,,0.238768,225.0
560.0,,0.127799,266.0
560.0,,0.301496,282.0
570.0,,0.00110208,63.0
570.0,,0.281514,106.0
570.0,,0.24828,165.0
570.0,,0.227746,168.0
570.0,,0.299022,182.0
570.0,,1.08704e-05,216.0
570.0,,0.247697,253.0
570.0,,0.325155,265.0
570.0,,0.312246,287.0
570.0,,0.275128,290.0
580.0,,0.242226,23.0
580.0,,0.244098,52.0
580.0,,0.0168066,69.0
580.0,,0.167969,83.0
580.0,,0.207234,89.0
580.0,,0.330052,93.0
580.0,,0.219675,125.0
580.0,,0.203577,197.0
580.0,,2.64611e-05,216.0
580.0,,0.203045,224.0
580.0,,0.034619,252.0
580.0,,0.322941,278.0
590.0,,0.125824,10.0
590.0,,0.299165,30.0
590.0,,0.193124,36.0
590.0,,0.0740233,61.0
590.0,,0.00170558,63.0
590.0,,0.0283749,134.0
590.0,,0.208182,176.0
590.0,,0.261083,201.0
590.0,,7.05114e-06,216.0
590.0,,0.316332,225.0
590.0,,0.316943,232.0
590.0,,0.274637,238.0
590.0,,0.21971,253.0
590.0,,0.000299725,254.0
600.0,,0.28418,8.0
600.0,,0.188316,13.0
600.0,,0.00134284,63.0
600.0,,0.285085,89.0
600.0,,0.20998,100.0
600.0,,0.000158979,125.0
600.0,,0.316097,133.0
600.0,,0.283671,177.0
600.0,,0.0833743,180.0
600.0,,0.328679,185.0
600.0,,0.27141,193.0
600.0,,0.210702,219.0
600.0,,0.0,266.0
600.0,,0.24806,283.0
610.0,,0.324041,2.0
610.0,,0.24393,26.0
610.0,,0.308237,74.0
610.0,,0.109795,76.0
610.0,,0.251417,119.0
610.0,,0.222186,133.0
610.0,,0.274527,153.0
610.0,,0.284593,162.0
610.0,,0.113917,194.0
610.0,,0.0201526,198.0
610.0,,2.39665e-05,216.0
610.0,,0.328321,227.0
610.0,,0.254055,241.0
610.0,,0.0589588,281.0
610.0,,0.328533,294.0
620.0,,0.219457,40.0
620.0,,0.0193749,62.0
620.0,,0.30077,82.0
620.0,,0.2314,91.0
620.0,,0.175735,129.0
620.0,,0.297716,201.0
620.0,,0.00154164,216.0
620.0,,0.310294,238.0
620.0,,0.0726311,279.0
620.0,,0.220645,284.0
630.0,,0.214203,19.0
630.0,,0.313141,40.0
630.0,,0.188542,51.0
630.0,,0.307474,73.0
630.0,,0.231885,129.0
630.0,,0.0407083,130.0
630.0,,0.128077,159.0
630.0,,1.45957e-06,216.0
630.0,,0.0,247.0
630.0,,0.000788468,281.0
630.0,,0.267967,290.0
640.0,,0.273909,5.0
640.0,,0.288759,28.0
640.0,,0.0130033,29.0
640.0,,0.223238,35.0
640.0,,0.111726,60.0
640.0,,0.0014841,63.0
640.0,,0.323782,122.0
640.0,,0.0696136,123.0
640.0,,0.278221,140.0
640.0,,0.285104,209.0
640.0,,3.21439e-05,216.0
640.0,,0.102982,254.0
640.0,,0.222956,267.0
640.0,,0.0991186,276.0
650.0,,0.0570991,30.0
650.0,,0.221073,49.0
650.0,,0.0,63.0
650.0,,0.142709,65.0
650.0,,0.291059,90.0
650.0,,0.232645,132.0
650.0,,0.288006,201.0
650.0,,0.0,216.0
650.0,,0.096986,251.0
660.0,,0.273893,8.0
660.0,,7.87215e-05,37.0
660.0,,0.0019126,73.0
660.0,,0.243526,74.0
660.0,,0.304969,109.0
660.0,,0.15636,148.0
660.0,,0.154338,156.0
660.0,,2.78007e-05,216.0
660.0,,0.25789,229.0
660.0,,0.00178957,253.0
670.0,,0.257726,22.0
670.0,,0.102616,47.0
670.0,,0.320806,55.0
670.0,,0.000661777,63.0
670.0,,0.133921,75.0
670.0,,0.331208,77.0
670.0,,0.254091,80.0
670.0,,0.252668,91.0
670.0,,0.156683,111.0
670.0,,0.231262,116.0
670.0,,0.15144,122.0
670.0,,0.00163799,125.0
670.0,,0.0573513,132.0
670.0,,0.168161,138.0
670.0,,0.179963,156.0
670.0,,0.247306,170.0
670.0,,0.00556325,180.0
670.0,,0.220487,191.0
670.0,,0.0533359,194.0
680.0,,0.0,62.0
680.0,,0.276299,88.0
680.0,,0.08785,127.0
680.0,,0.0867041,142.0
680.0,,0.218921,156.0
680.0,,0.0778673,172.0
680.0,,0.0841232,186.0
680.0,,0.226278,195.0
680.0,,2.91946e-05,216.0
680.0,,0.285435,217.0
680.0,,0.262722,223.0
680.0,,0.235196,243.0
680.0,,0.2859,273.0
690.0,,0.199285,1.0
690.0,,0.25682,4.0
690.0,,0.315522,29.0
690.0,,0.220143,46.0
690.0,,0.0,73.0
690.0,,0.153423,86.0
690.0,,0.00703454,118.0
690.0,,0.313873,129.0
690.0,,0.149111,184.0
690.0,,0.257691,212.0
690.0,,2.08026e-05,216.0
690.0,,0.225802,227.0
700.0,,0.00602064,42.0
700.0,,0.00107506,73.0
700.0,,0.308211,77.0
700.0,,0.316984,82.0
700.0,,0.311525,144.0
700.0,,0.32543,146.0
700.0,,0.281561,180.0
700.0,,0.305522,181.0
700.0,,0.246806,187.0
700.0,,4.70896e-05,216.0
700.0,,0.00348875,217.0
700.0,,0.248003,227.0
700.0,,0.266545,252.0
710.0,,0.0999883,24.0
710.0,,0.29602,40.0
710.0,,0.00262445,63.0
710.0,,0.319816,111.0
710.0,,0.25834,128.0
710.0,,0.299613,133.0
710.0,,5.1034e-05,216.0
710.0,,0.206053,226.0
710.0,,0.132089,284.0
710.0,,0.0974662,294.0
720.0,,0.0149211,42.0
720.0,,0.307837,59.0
720.0,,0.332096,66.0
720.0,,0.00181592,73.0
720.0,,0.226261,111.0
720.0,,0.18113,147.0
720.0,,0.297657,171.0
720.0,,0.27637,198.0
720.0,,2.09497e-05,216.0
720.0,,0.000136508,217.0
720.0,,0.28626,248.0
720.0,,0.0104618,274.0
720.0,,0.136357,287.0
720.0,,0.0789479,288.0
730.0,,0.264591,31.0
730.0,,0.250183,62.0
730.0,,0.000694702,63.0
730.0,,0.246882,118.0
730.0,,0.197789,128.0
730.0,,0.0139305,142.0
730.0,,0.249512,167.0
730.0,,3.03118e-05,216.0
730.0,,0.291608,224.0
730.0,,0.188684,235.0
730.0,,0.277396,239.0
730.0,,0.0473175,262.0
730.0,,0.238497,294.0
740.0,,0.308423,18.0
740.0,,0.301643,42.0
740.0,,0.0191129,73.0
740.0,,0.302021,194.0
740.0,,0.300309,208.0
740.0,,0.0,209.0
