Time (ns),id,Diffusion Coefficient (cm²/s),Atom id
680.0,,0.30734,68.0
680.0,,0.00409341,97.0
680.0,,0.333353,115.0
680.0,,0.16401,117.0
680.0,,0.125175,135.0
680.0,,0.27603,159.0
680.0,,0.0127912,168.0
680.0,,0.203176,200.0
680.0,,0.169957,212.0
680.0,,0.2789,224.0
680.0,,0.28589,250.0
690.0,,0.288326,26.0
690.0,,0.265527,27.0
690.0,,0.236183,44.0
690.0,,0.00144897,97.0
690.0,,0.0270843,168.0
690.0,,0.232802,235.0
690.0,,0.184223,253.0
690.0,,0.17499,287.0
700.0,,0.241145,9.0
700.0,,0.0740338,14.0
700.0,,0.240274,49.0
700.0,,0.132785,57.0
700.0,,0.0892891,73.0
700.0,,0.206236,83.0
700.0,,0.204598,87.0
700.0,,0.00101368,97.0
700.0,,0.216687,108.0
700.0,,0.261152,110.0
700.0,,0.282055,125.0
700.0,,0.020741,151.0
700.0,,0.318144,165.0
700.0,,0.0249097,182.0
700.0,,0.190909,209.0
700.0,,0.168348,239.0
710.0,,0.256263,4.0
710.0,,0.205419,13.0
710.0,,0.282063,24.0
710.0,,0.262763,36.0
710.0,,0.271897,55.0
710.0,,0.0923866,56.0
710.0,,0.21846,75.0
710.0,,0.198028,85.0
710.0,,0.000438702,97.0
710.0,,0.256735,99.0
710.0,,0.157243,187.0
710.0,,0.0,208.0
710.0,,0.0,214.0
710.0,,0.100333,216.0
710.0,,0.329122,217.0
710.0,,0.104481,218.0
710.0,,0.230956,253.0
720.0,,0.287314,14.0
720.0,,0.0149789,53.0
720.0,,0.199895,54.0
720.0,,0.222153,88.0
720.0,,0.00075635,97.0
720.0,,0.0530472,125.0
720.0,,0.157469,130.0
720.0,,0.244792,162.0
720.0,,7.55671e-05,168.0
720.0,,0.303895,204.0
720.0,,0.253164,208.0
720.0,,0.000781002,220.0
720.0,,0.192127,255.0
720.0,,0.0345439,278.0
730.0,,0.00667727,15.0
730.0,,0.199763,48.0
730.0,,0.00138775,97.0
730.0,,0.124847,130.0
730.0,,0.130366,153.0
730.0,,0.0017744,168.0
730.0,,0.12795,212.0
740.0,,0.326612,118.0
740.0,,0.162957,193.0
740.0,,0.324599,196.0
740.0,,0.146425,211.0
740.0,,0.0171473,223.0
740.0,,0.168357,249.0
740.0,,0.31083,268.0
750.0,,0.255157,20.0
750.0,,0.32443,31.0
750.0,,0.261055,44.0
750.0,,0.00188874,46.0
750.0,,0.27812,82.0
750.0,,0.253269,89.0
750.0,,0.204193,90.0
750.0,,0.0,97.0
750.0,,0.0,168.0
750.0,,0.154204,175.0
750.0,,0.31803,206.0
750.0,,0.000103091,245.0
750.0,,0.207815,250.0
760.0,,0.170338,8.0
760.0,,0.00227475,46.0
760.0,,0.0010847,97.0
760.0,,0.203469,124.0
760.0,,0.251865,126.0
760.0,,0.239201,143.0
760.0,,0.250779,144.0
760.0,,0.0176898,168.0
760.0,,0.297265,199.0
760.0,,0.192694,202.0
760.0,,0.313649,211.0
760.0,,0.184824,228.0
760.0,,0.307013,248.0
770.0,,0.326415,47.0
770.0,,0.227949,48.0
770.0,,0.00182879,97.0
770.0,,0.337067,100.0
770.0,,0.250992,110.0
770.0,,0.316213,119.0
770.0,,0.199076,126.0
770.0,,0.263892,183.0
770.0,,0.313014,196.0
770.0,,0.198442,275.0
780.0,,0.268782,54.0
780.0,,0.157954,55.0
780.0,,0.154436,74.0
780.0,,0.0923467,87.0
780.0,,0.239196,126.0
780.0,,0.171726,176.0
780.0,,0.17391,228.0
780.0,,0.145314,257.0
790.0,,0.0143436,10.0
790.0,,0.249948,35.0
790.0,,0.163987,43.0
790.0,,0.207165,44.0
790.0,,0.150244,77.0
790.0,,0.255256,84.0
790.0,,0.254397,96.0
790.0,,0.000451203,97.0
790.0,,0.197857,151.0
790.0,,0.114629,179.0
790.0,,0.0846631,191.0
790.0,,0.188727,261.0
800.0,,0.248769,35.0
800.0,,0.227282,66.0
800.0,,0.0,84.0
800.0,,0.221932,88.0
800.0,,0.000449201,97.0
800.0,,0.0,185.0
800.0,,0.143937,208.0
800.0,,0.329531,225.0
800.0,,0.0772241,237.0
800.0,,0.316365,249.0
810.0,,0.127685,18.0
810.0,,0.00583805,46.0
810.0,,0.266262,69.0
810.0,,0.0,97.0
810.0,,0.330408,133.0
810.0,,0.254466,153.0
810.0,,0.00478682,168.0
810.0,,0.119075,171.0
810.0,,0.242366,199.0
810.0,,0.0,204.0
810.0,,0.218709,210.0
810.0,,0.222093,211.0
820.0,,0.0,4.0
820.0,,0.311483,21.0
820.0,,0.21534,55.0
820.0,,0.168139,57.0
820.0,,0.243905,76.0
820.0,,0.00146001,97.0
820.0,,0.273029,101.0
820.0,,0.260993,107.0
820.0,,0.0,168.0
820.0,,0.301787,174.0
820.0,,0.325027,208.0
820.0,,0.214056,226.0
