Time (ns),Atom id,Diffusion Coefficient (cm²/s)
390.0,102,0.203555
390.0,131,0.274776
390.0,133,0.125641
390.0,165,0.0
390.0,168,0.0311433
390.0,183,0.278387
390.0,221,0.26054
390.0,261,0.334522
390.0,267,0.187224
400.0,15,0.306495
400.0,19,0.276244
400.0,43,0.146545
400.0,72,0.132583
400.0,92,0.0849581
400.0,97,0.00282975
400.0,99,0.312213
400.0,151,0.197967
400.0,214,0.180724
400.0,237,0.188649
400.0,243,0.199419
400.0,251,0.00240047
400.0,257,0.322045
410.0,3,0.0799743
410.0,46,0.00255511
410.0,81,0.252242
410.0,89,0.257197
410.0,97,0.0
410.0,114,0.284277
410.0,118,0.175999
410.0,128,0.229094
410.0,136,0.127541
410.0,164,0.198987
410.0,168,0.00218955
410.0,181,0.0238187
410.0,191,0.307389
410.0,245,0.0249249
420.0,19,0.317411
420.0,46,0.0255805
420.0,90,0.310887
420.0,97,0.000591126
420.0,138,0.25348
420.0,140,0.30643
420.0,153,0.078267
420.0,212,0.15541
420.0,221,0.316177
420.0,229,0.273492
430.0,4,0.191788
430.0,97,0.0
430.0,104,0.302251
430.0,123,0.262012
430.0,127,0.253224
430.0,158,0.21391
430.0,197,0.256772
430.0,238,0.240949
440.0,9,0.313207
440.0,33,0.325432
440.0,36,0.176051
440.0,41,0.0750589
440.0,47,0.254731
440.0,49,0.0894118
440.0,55,0.155279
440.0,78,0.239536
440.0,82,0.242484
440.0,97,0.00165639
440.0,148,0.135901
440.0,154,0.184204
440.0,190,0.264937
450.0,4,0.277619
450.0,62,0.304627
450.0,89,0.260502
450.0,97,0.00288792
450.0,115,0.199657
450.0,168,0.000389738
450.0,206,0.0725093
450.0,220,0.00127478
450.0,227,0.163517
450.0,268,0.0187402
450.0,283,0.312131
460.0,97,0.0
460.0,184,0.271321
460.0,226,0.15505
460.0,232,0.0825686
470.0,23,0.0684777
470.0,58,0.0143874
470.0,81,0.330626
470.0,97,0.00211201
470.0,195,0.0302836
470.0,245,0.245887
470.0,271,0.298516
470.0,288,0.260494
480.0,3,0.203565
480.0,13,0.181122
480.0,46,0.00324326
